13:18:44.469 (0x0eec) [debug] sacnIsStart:  false
13:18:44.541 (0x0eec) [debug] sacnIsStart:  false
13:18:44.543 (0x0eec) [debug] sacnIsStart:  false
13:18:44.618 (0x0eec) [debug] sacnIsStart:  false
13:18:44.621 (0x0eec) [debug] sacnIsStart:  false
13:18:44.700 (0x0eec) [debug] sacnIsStart:  false
13:18:44.703 (0x0eec) [debug] sacnIsStart:  false
13:18:44.787 (0x0eec) [debug] sacnIsStart:  false
13:18:44.789 (0x0eec) [debug] sacnIsStart:  false
13:18:44.880 (0x0eec) [debug] sacnIsStart:  false
13:18:44.883 (0x0eec) [debug] sacnIsStart:  false
13:18:44.985 (0x0eec) [debug] sacnIsStart:  false
13:18:44.988 (0x0eec) [debug] sacnIsStart:  false
13:18:45.109 (0x0eec) [debug] sacnIsStart:  false
13:18:45.111 (0x0eec) [debug] sacnIsStart:  false
13:18:45.287 (0x0eec) [debug] sacnIsStart:  false
13:18:45.290 (0x0eec) [debug] sacnIsStart:  false
13:18:45.775 (0x0eec) [debug] sacnIsStart:  false
13:18:45.777 (0x0eec) [debug] sacnIsStart:  false
13:18:45.996 (0x0eec) [debug] sacnIsStart:  false
13:18:45.998 (0x0eec) [debug] sacnIsStart:  false
13:18:47.423 (0x0eec) [trace] qml:
13:18:47.467 (0x0eec) [info ] ----- msAppExit: 11917493.026400, 00:19:51.10726493
13:18:47.468 (0x0eec) [info ] app running: 54715.125800, 00:00:05.49715
13:18:47.469 (0x0eec) [info ] app return: 0
13:18:47.469 (0x0eec) [info ] ----- App exit ------
